Service,Announcement Status,Announcement Type,Pre-announce date,GA date,GA in Sydney date,Pre-announcement link,GA link,Sydney link,Notes,Announced as GA,"Announced as GA, but not in Sydney",Went GA,Went GA in Sydney,Went GA in Sydney at same time,Days until GA,Days until GA in Sydney,Days Sydney GA after GA
Lambda: Supports Ruby,GA,Feature,n/a,29/11/2018,29/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-lambda-supports-ruby/,https://aws.amazon.com/about-aws/whats-new/2018/11/aws-lambda-supports-ruby/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
Application Load Balancer can now Invoke Lambda Functions to Serve HTTP(S) Requests,GA,Feature,n/a,29/11/2018,29/11/2018,,https://aws.amazon.com/about-aws/whats-new/2018/11/alb-can-now-invoke-lambda-functions-to-serve-https-requests/,https://aws.amazon.com/about-aws/whats-new/2018/11/alb-can-now-invoke-lambda-functions-to-serve-https-requests/,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0
AWS Transit Gateway,GA,Service,n/a,26/11/2018,13/12/2018,,https://aws.amazon.com/blogs/aws/new-use-an-aws-transit-gateway-to-simplify-your-network-architecture/,https://aws.amazon.com/about-aws/whats-new/2018/12/aws-transit-gateway-is-now-available-in-8-additional-aws-regions/,Ignores promised Direct Connect integration.,TRUE,TRUE,TRUE,TRUE,FALSE,0,17,17
Amazon FSx for Lustre,GA,Service,n/a,28/11/2018,04/04/2019,,https://aws.amazon.com/blogs/aws/new-amazon-fsx-for-lustre/,https://aws.amazon.com/about-aws/whats-new/2019/04/amazon-fsx-for-lustre-is-now-available-in-sydney/,,TRUE,TRUE,TRUE,TRUE,FALSE,0,127,127
Amazon FSx for Windows﻿ ,GA,Service,n/a,28/11/2018,04/04/2019,,https://aws.amazon.com/blogs/aws/new-amazon-fsx-for-windows-file-server-fast-fully-managed-and-secure/,https://aws.amazon.com/about-aws/whats-new/2019/04/amazon-fsx-for-windows-file-server-is-now-available-in-sydney/,,TRUE,TRUE,TRUE,TRUE,FALSE,0,127,127
Sagemaker Ground Truth,GA,Service,n/a,28/11/2018,24/04/2019,,https://aws.amazon.com/blogs/aws/amazon-sagemaker-ground-truth-build-highly-accurate-datasets-and-reduce-labeling-costs-by-up-to-70/,https://aws.amazon.com/about-aws/whats-new/2019/04/amazon-sagemaker-ground-truth-announces-new-features-to-simplify,,TRUE,TRUE,TRUE,TRUE,FALSE,0,147,147
AWS Global Accelerator,GA,Service,n/a,26/11/2018,24/04/2019,,https://aws.amazon.com/blogs/aws/new-aws-global-accelerator-for-availability-and-performance/,https://aws.amazon.com/about-aws/whats-new/2019/04/aws-global-accelerator-is-now-available-in-six-additional-regions/,,TRUE,TRUE,TRUE,TRUE,FALSE,0,149,149
Well Architected Tool,GA,Service,n/a,29/11/2018,30/04/2019,,https://aws.amazon.com/about-aws/whats-new/2018/11/introducing-aws-well-architected-tool/,https://aws.amazon.com/about-aws/whats-new/2019/04/aws-well-architected-tool-is-now-available-in-aws-asia-pacific-sydney-region/,,TRUE,TRUE,TRUE,TRUE,FALSE,0,152,152
Amazon Aurora Global Database,GA,Feature,n/a,27/11/2018,01/05/2019,,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-amazon-aurora-global-database/,https://aws.amazon.com/about-aws/whats-new/2019/05/Aurora_Global_Database_Expands_Availability_to_14_AWS_Regions,,TRUE,TRUE,TRUE,TRUE,FALSE,0,155,155
Amazon Kinesis supports Java-based Stream Processing Applications,GA,Feature,n/a,27/11/2018,08/05/2019,,https://aws.amazon.com/about-aws/whats-new/2018/11/amazon-kinesis-data-analytics-now-supports-java-based-stream-processing-applications/,https://aws.amazon.com/about-aws/whats-new/2019/05/amazon_kinesis_data_analytics_is_now_available_in_asia_pacific_seoul_asia_pacific_singapore_asia_pacific_sydney_asia_pacific_tokyo_and_eu_london/,Data analytics wasn't available in Sydney until May 2019,TRUE,TRUE,TRUE,TRUE,FALSE,0,162,162
Amazon Comprehend Medical,GA,Service,n/a,27/11/2018,07/06/2019,,https://aws.amazon.com/blogs/machine-learning/introducing-medical-language-processing-with-amazon-comprehend-medical/,https://aws.amazon.com/about-aws/whats-new/2019/06/comprehend-medical-available-in-asia-pacific-eu-canada,,TRUE,TRUE,TRUE,TRUE,FALSE,0,192,192
EC2 C5n Instances,GA,Feature,n/a,26/11/2018,09/08/2019,,https://aws.amazon.com/blogs/aws/new-c5n-instances-with-100-gbps-networking/,https://aws.amazon.com/about-aws/whats-new/2019/08/introducing-amazon-ec2-i3en-and-c5n-bare-metal-instances/ ??,"Not sure what date exactly c5n became available in Sydney. Can't find an announcement other than for the bare metal versions, so I'm using that.",TRUE,TRUE,TRUE,TRUE,FALSE,0,256,256
EC2 A1 Instances,GA,Feature,n/a,26/11/2018,28/08/2019,,https://aws.amazon.com/about-aws/whats-new/2018/11/introducing-amazon-ec2-a1-instances/,https://aws.amazon.com/about-aws/whats-new/2019/08/amazon-ec2-a1-instances-are-now-available-in-additional-regions/,,TRUE,TRUE,TRUE,TRUE,FALSE,0,275,275
Sagemaker Neo,GA,Feature,n/a,28/11/2018,26/09/2019,,https://aws.amazon.com/blogs/aws/amazon-sagemaker-neo-train-your-machine-learning-models-once-run-them-anywhere/,https://aws.amazon.com/about-aws/whats-new/2019/09/amazon-sagemaker-neo-is-now-available-in-12-additional-regions/,,TRUE,TRUE,TRUE,TRUE,FALSE,0,302,302
EC2 p3dn.24xlarge,Pre-announce,Feature,26/11/2018,07/12/2018,n/a,https://aws.amazon.com/blogs/aws/aws-previews-and-pre-announcements-at-reinvent-2018-monday-night-live/,https://aws.amazon.com/blogs/aws/new-ec2-p3dn-gpu-instances-with-100-gbps-networking-local-nvme-storage-for-faster-machine-learning-p3-price-reduction/,,,FALSE,FALSE,TRUE,FALSE,FALSE,11,0,0
Amazon EFS Infrequent Access Storage Class,Pre-announce,Feature,25/11/2018,13/02/2019,13/02/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/coming-soon-amazon-efs-infrequent-access-storage-class/,https://aws.amazon.com/blogs/aws/new-infrequent-access-storage-class-for-amazon-elastic-file-system-efs/,https://aws.amazon.com/blogs/aws/new-infrequent-access-storage-class-for-amazon-elastic-file-system-efs/,,FALSE,FALSE,TRUE,TRUE,TRUE,80,80,0
ML Insights for Quicksight,Preview,Feature,27/11/2018,14/03/2019,n/a,https://aws.amazon.com/blogs/big-data/amazon-quicksight-announces-ml-insights-in-preview/,https://aws.amazon.com/blogs/big-data/amazon-quicksight-announces-general-availability-of-ml-insights/,,,FALSE,FALSE,TRUE,FALSE,FALSE,107,0,0
AWS Toolkit for IntelliJ,Preview,Open Source,29/11/2018,27/03/2019,27/03/2019,https://aws.amazon.com/blogs/aws/new-aws-toolkits-for-pycharm-intellij-preview-and-visual-studio-code-preview/,https://aws.amazon.com/about-aws/whats-new/2019/03/the-aws-toolkit-for-intellij-is-now-generally-available/,https://aws.amazon.com/about-aws/whats-new/2019/03/the-aws-toolkit-for-intellij-is-now-generally-available/,,FALSE,FALSE,TRUE,TRUE,TRUE,118,118,0
AWS App Mesh,Preview,Service,28/11/2018,27/03/2019,27/03/2019,https://aws.amazon.com/blogs/compute/introducing-aws-app-mesh-service-mesh-for-microservices-on-aws/,https://aws.amazon.com/about-aws/whats-new/2019/03/aws-app-mesh-is-now-generally-available/,https://aws.amazon.com/about-aws/whats-new/2019/03/aws-app-mesh-is-now-generally-available/,Public preview,FALSE,FALSE,TRUE,TRUE,TRUE,119,119,0
S3 Glacier Deep Archive,Preview,Feature,28/11/2018,27/03/2019,27/03/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/s3-glacier-deep-archive/,https://aws.amazon.com/blogs/aws/new-amazon-s3-storage-class-glacier-deep-archive/,https://aws.amazon.com/blogs/aws/new-amazon-s3-storage-class-glacier-deep-archive/,,FALSE,FALSE,TRUE,TRUE,TRUE,119,119,0
Amazon DeepRacer,Preview,Service,28/11/2018,29/04/2019,n/a,https://aws.amazon.com/blogs/aws/aws-deepracer-go-hands-on-with-reinforcement-learning-at-reinvent/,https://aws.amazon.com/about-aws/whats-new/2019/04/AWSDeepRacerVirtualLeague/,,,FALSE,FALSE,TRUE,FALSE,FALSE,152,0,0
Amazon Managed Blockchain Service,Preview,Service,28/11/2018,30/04/2019,n/a,https://aws.amazon.com/blogs/aws/aws-previews-and-pre-announcements-at-reinvent-2018-andy-jassy-keynote/,https://aws.amazon.com/about-aws/whats-new/2019/04/introducing-amazon-managed-blockchain/,,,FALSE,FALSE,TRUE,FALSE,FALSE,153,0,0
Elastic Fabric Adapter,Preview,Feature,26/11/2018,29/04/2019,29/04/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/introducing-elastic-fabric-adapter/,https://aws.amazon.com/blogs/aws/now-available-elastic-fabric-adapter-efa-for-tightly-coupled-hpc-workloads/,https://aws.amazon.com/blogs/aws/now-available-elastic-fabric-adapter-efa-for-tightly-coupled-hpc-workloads/,Only on certain instance types that might not have been available in Sydney at the time,FALSE,FALSE,TRUE,TRUE,TRUE,154,154,0
Amazon S3 Batch Operations for Object Management,Preview,Feature,26/11/2018,30/04/2019,30/04/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/s3-batch-operations/,https://aws.amazon.com/blogs/aws/new-amazon-s3-batch-operations/,https://aws.amazon.com/blogs/aws/new-amazon-s3-batch-operations/,,FALSE,FALSE,TRUE,TRUE,TRUE,155,155,0
GroundStation,Preview,Service,27/11/2018,23/05/2019,n/a,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-aws-ground-station-preview/,https://aws.amazon.com/about-aws/whats-new/2019/05/announcing-general-availability-of-aws-ground-station-/,,,FALSE,FALSE,TRUE,FALSE,FALSE,177,0,0
Amazon Textract,Preview,Service,28/11/2018,29/05/2019,n/a,https://aws.amazon.com/blogs/aws/aws-previews-and-pre-announcements-at-reinvent-2018-andy-jassy-keynote/,https://aws.amazon.com/about-aws/whats-new/2019/05/amazon-textract-now-generally-available/,,,FALSE,FALSE,TRUE,FALSE,FALSE,182,0,0
Amazon Managed Streaming for Kafka,Preview,Service,28/11/2018,30/05/2019,30/05/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/introducing-amazon-managed-streaming-for-kafka-in-public-preview/,https://aws.amazon.com/blogs/aws/amazon-managed-streaming-for-apache-kafka-msk-now-generally-available/,https://aws.amazon.com/blogs/aws/amazon-managed-streaming-for-apache-kafka-msk-now-generally-available/,Public preview,FALSE,FALSE,TRUE,TRUE,TRUE,183,183,0
IoT Things Graph,Preview,Service,26/11/2018,30/05/2019,30/05/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/iot-things-graph-now-in-preview/,https://aws.amazon.com/blogs/aws/now-available-aws-iot-things-graph/,https://aws.amazon.com/blogs/aws/now-available-aws-iot-things-graph/,,FALSE,FALSE,TRUE,TRUE,TRUE,185,185,0
IoT Events,Preview,Service,26/11/2018,30/05/2019,28/06/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/introducing-aws-iot-events-now-available-in-preview/,https://aws.amazon.com/blogs/aws/new-aws-iot-events-detect-and-respond-to-events-at-scale/,https://aws.amazon.com/about-aws/whats-new/2019/06/aws-iot-events-now-available-frankfurt-sydney-tokyo/,,FALSE,FALSE,TRUE,TRUE,FALSE,185,214,29
Amazon Personalize,Preview,Service,28/11/2018,10/06/2019,n/a,https://aws.amazon.com/blogs/aws/amazon-personalize-real-time-personalization-and-recommendation-for-everyone/,https://aws.amazon.com/blogs/aws/amazon-personalize-is-now-generally-available/,,,FALSE,FALSE,TRUE,FALSE,FALSE,194,0,0
Amazon FreeRTOS Bluetooth Low Energy Support,Preview,Open Source,28/11/2018,17/06/2019,17/06/2019,https://aws.amazon.com/blogs/iot/using-bluetooth-low-energy-with-amazon-freertos-on-espressif-esp32/,https://aws.amazon.com/blogs/iot/aws-announces-bluetooth-low-energy-support-in-amazon-freertos-as-generally-available/,https://aws.amazon.com/blogs/iot/aws-announces-bluetooth-low-energy-support-in-amazon-freertos-as-generally-available/,,FALSE,FALSE,TRUE,TRUE,TRUE,201,201,0
AWS Control Tower,Preview,Service,28/11/2018,24/06/2019,n/a,https://aws.amazon.com/blogs/aws/aws-previews-and-pre-announcements-at-reinvent-2018-andy-jassy-keynote/,https://aws.amazon.com/about-aws/whats-new/2019/06/aws-control-tower-is-now-generally-available/,,,FALSE,FALSE,TRUE,FALSE,FALSE,208,0,0
Security Hub,Preview,Service,28/11/2018,24/06/2019,24/06/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/introducing-aws-security-hub/,https://aws.amazon.com/about-aws/whats-new/2019/06/aws-security-hub-now-generally-available/,https://aws.amazon.com/about-aws/whats-new/2019/06/aws-security-hub-now-generally-available/,,FALSE,FALSE,TRUE,TRUE,TRUE,208,208,0
AWS Toolkit for VSCode,Preview,Open Source,29/11/2018,11/07/2019,11/07/2019,https://aws.amazon.com/blogs/aws/new-aws-toolkits-for-pycharm-intellij-preview-and-visual-studio-code-preview/,https://aws.amazon.com/blogs/developer/announcing-aws-toolkit-for-visual-studio-code/,https://aws.amazon.com/blogs/developer/announcing-aws-toolkit-for-visual-studio-code/,,FALSE,FALSE,TRUE,TRUE,TRUE,224,224,0
AWS Lake Formation,Preview,Service,28/11/2018,09/08/2019,11/11/2019,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-aws-lake-formation/,https://aws.amazon.com/about-aws/whats-new/2019/08/aws-lake-formation-is-now-generally-available/,https://aws.amazon.com/about-aws/whats-new/2019/11/aws-lake-formation-is-now-available-in-the-asia-pacific-sydney-asia-pacific-singapore-and-asia-pacific-mumbai-aws-regions/,,FALSE,FALSE,TRUE,TRUE,FALSE,254,348,94
Amazon Forecast,Preview,Service,28/11/2018,22/08/2019,n/a,https://aws.amazon.com/blogs/aws/amazon-forecast-time-series-forecasting-made-easy/,https://aws.amazon.com/about-aws/whats-new/2019/08/amazon-forecast-now-generally-available/,,,FALSE,FALSE,TRUE,FALSE,FALSE,267,0,0
Amazon Quantum Ledger Database (QLDB),Preview,Service,28/11/2018,10/09/2019,19/11/2019,https://aws.amazon.com/blogs/aws/aws-previews-and-pre-announcements-at-reinvent-2018-andy-jassy-keynote/,https://aws.amazon.com/blogs/aws/now-available-amazon-quantum-ledger-database-qldb/,https://aws.amazon.com/about-aws/whats-new/2019/11/amazon-qldb-available-europe-frankfurt-asiapacific-singapore-seoul-sydney/,,FALSE,FALSE,TRUE,TRUE,FALSE,286,356,70
Amazon RDS on VMWare,Preview,Feature,28/11/2018,16/10/2019,n/a,https://aws.amazon.com/about-aws/whats-new/2018/11/announcing-public-preview-amazon-rds-on-vmware/,https://aws.amazon.com/blogs/aws/now-available-amazon-relational-database-service-rds-on-vmware/,,Public preview,FALSE,FALSE,TRUE,FALSE,FALSE,322,0,0